measurement_location;name;lon;lat
15202300;Chamerau;772999;5454387
15205501;Kienhof;754654;5454455
15207507;Marienthal;731151;5457076
15210206;Zwiesel;808629;5437159
15212008;Teisnach;792241;5439862
15212700;Saegmuehle;786279;5442774
15213500;Aitnach;786177;5441528
15214003;Zwiesel;809253;5438135
15214604;Hirschbach;819642;5437482
15216009;Lohmannmuehle;809629;5437141
15217908;Teisnach;792075;5439213
15221009;Lohberg;798152;5454593
15228008;Koetzting;780850;5453366
15241006;Gogl-Muehle;788823;5471809
15242304;Eschlkam;783449;5468105
15242508;Drachensee Speicherabfluss;780824;5470072
15243001;Furth im Wald;778880;5468131
15246000;Kothmaissling;771733;5460893
15247002;Leming;784900;5466230
15247501;Oesbuehl;783028;5470376